Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Sep 21, 2009;1.130,869
Sep 22, 2009;1.143,385
Sep 23, 2009;1.137,892
Sep 24, 2009;1.122,925
Sep 25, 2009;1.115,398
Sep 28, 2009;1.127,597
Sep 29, 2009;1.125,571
Sep 30, 2009;1.126,985
Okt 01, 2009;1.102,035
Okt 02, 2009;1.088,903
Okt 05, 2009;1.099,442
Okt 06, 2009;1.121,628
Okt 07, 2009;1.122,974
Okt 08, 2009;1.137,587
Okt 09, 2009;1.139,844
Okt 12, 2009;1.145,925
Okt 13, 2009;1.142,153
Okt 14, 2009;1.162,570
Okt 15, 2009;1.166,652
Okt 16, 2009;1.156,198
Okt 19, 2009;1.170,638
Okt 20, 2009;1.166,032
Okt 21, 2009;1.163,516
Okt 22, 2009;1.163,502
Okt 23, 2009;1.153,422
Okt 26, 2009;1.139,866
Okt 27, 2009;1.131,439
Okt 28, 2009;1.108,971
Okt 29, 2009;1.127,808
Okt 30, 2009;1.106,170
Nov 02, 2009;1.109,243
Nov 03, 2009;1.104,091
Nov 04, 2009;1.115,334
Nov 05, 2009;1.128,343
Nov 06, 2009;1.132,192
Nov 09, 2009;1.157,712
Nov 10, 2009;1.156,844
Nov 11, 2009;1.162,163
Nov 12, 2009;1.152,500
Nov 13, 2009;1.158,258
Nov 16, 2009;1.175,396
Nov 17, 2009;1.169,560
Nov 18, 2009;1.171,542
Nov 19, 2009;1.151,979
Nov 20, 2009;1.145,724
Nov 23, 2009;1.165,830
Nov 24, 2009;1.160,136
Nov 25, 2009;1.170,714
Nov 26, 2009;1.154,873
Nov 27, 2009;1.144,583
Nov 30, 2009;1.149,007
Dez 01, 2009;1.171,944
Dez 02, 2009;1.173,863
Dez 03, 2009;1.170,565
Dez 04, 2009;1.168,901
Dez 07, 2009;1.165,329
Dez 08, 2009;1.151,378
Dez 09, 2009;1.148,935
Dez 10, 2009;1.154,065
Dez 11, 2009;1.155,544
Dez 14, 2009;1.164,870
Dez 15, 2009;1.157,843
Dez 16, 2009;1.165,706
Dez 17, 2009;1.145,378
Dez 18, 2009;1.144,113
Dez 21, 2009;1.155,785
Dez 22, 2009;1.159,319
Dez 23, 2009;1.166,321
Dez 24, 2009;1.172,163
Dez 25, 2009;1.171,555
Dez 28, 2009;1.176,348
Dez 29, 2009;1.177,967
Dez 30, 2009;1.171,287
Dez 31, 2009;1.168,468
Jan 01, 2010;1.168,468
Jan 04, 2010;1.189,393
Jan 05, 2010;1.192,887
Jan 06, 2010;1.193,524
Jan 07, 2010;1.192,906
Jan 08, 2010;1.198,257
Jan 11, 2010;1.207,218
Jan 12, 2010;1.199,342
Jan 13, 2010;1.201,613
Jan 14, 2010;1.207,980
Jan 15, 2010;1.195,657
Jan 18, 2010;1.198,222
Jan 19, 2010;1.203,332
Jan 20, 2010;1.184,487
Jan 21, 2010;1.166,928
Jan 22, 2010;1.149,894
Jan 25, 2010;1.148,989
Jan 26, 2010;1.143,442
Jan 27, 2010;1.140,277
Jan 28, 2010;1.128,324
Jan 29, 2010;1.119,537
Feb 01, 2010;1.129,287
Feb 02, 2010;1.144,957
Feb 03, 2010;1.138,905
Feb 04, 2010;1.106,372
Feb 05, 2010;1.095,481
Feb 08, 2010;1.092,632
Feb 09, 2010;1.101,183
Feb 10, 2010;1.101,441
Feb 11, 2010;1.108,273
Feb 12, 2010;1.107,324
Feb 15, 2010;1.107,417
Feb 16, 2010;1.124,859
Feb 17, 2010;1.133,789
Feb 18, 2010;1.138,936
Feb 19, 2010;1.134,449
Feb 22, 2010;1.139,817
Feb 23, 2010;1.128,519
Feb 24, 2010;1.133,203
Feb 25, 2010;1.124,023
Feb 26, 2010;1.133,348
Mrz 01, 2010;1.140,585
Mrz 02, 2010;1.149,392
Mrz 03, 2010;1.157,366
Mrz 04, 2010;1.155,596
Mrz 05, 2010;1.170,459
Mrz 08, 2010;1.174,701
Mrz 09, 2010;1.174,110
Mrz 10, 2010;1.180,315
Mrz 11, 2010;1.182,688
Mrz 12, 2010;1.187,374
Mrz 15, 2010;1.181,990
Mrz 16, 2010;1.193,726
Mrz 17, 2010;1.202,505
Mrz 18, 2010;1.196,712
Mrz 19, 2010;1.190,780
Mrz 22, 2010;1.193,453
Mrz 23, 2010;1.200,859
Mrz 24, 2010;1.190,328
Mrz 25, 2010;1.191,751
Mrz 26, 2010;1.193,414
Mrz 29, 2010;1.200,615
Mrz 30, 2010;1.201,097
Mrz 31, 2010;1.200,530
Apr 01, 2010;1.212,140
